,Discipline,Signed Up,Entries,Diff
0,3x3 Basketball,62,64,-2
1,Archery,122,128,-6
2,Artistic Gymnastics,187,196,-9
3,Artistic Swimming,98,105,-7
4,Athletics,2068,2041,27
5,Badminton,164,173,-9
6,Baseball/Softball,220,234,-14
7,Basketball,280,288,-8
8,Beach Volleyball,90,96,-6
9,Boxing,270,289,-19
10,Canoe Slalom,78,82,-4
11,Canoe Sprint,236,249,-13
12,Cycling BMX Freestyle,19,19,0
13,Cycling BMX Racing,43,48,-5
14,Cycling Mountain Bike,74,76,-2
15,Cycling Road,190,201,-11
16,Cycling Track,208,189,19
17,Diving,133,143,-10
18,Equestrian,237,198,39
19,Fencing,249,215,34
20,Football,567,608,-41
21,Golf,115,120,-5
22,Handball,343,336,7
23,Hockey,406,384,22
24,Judo,373,393,-20
25,Karate,77,82,-5
26,Marathon Swimming,49,50,-1
27,Modern Pentathlon,69,72,-3
28,Rhythmic Gymnastics,95,96,-1
29,Rowing,496,522,-26
30,Rugby Sevens,283,297,-14
31,Sailing,336,350,-14
32,Shooting,342,356,-14
33,Skateboarding,77,80,-3
34,Sport Climbing,37,40,-3
35,Surfing,38,40,-2
36,Swimming,743,779,-36
37,Table Tennis,164,172,-8
38,Taekwondo,123,130,-7
39,Tennis,178,191,-13
40,Trampoline Gymnastics,31,32,-1
41,Triathlon,106,110,-4
42,Volleyball,274,288,-14
43,Water Polo,269,268,1
44,Weightlifting,187,197,-10
45,Wrestling,279,289,-10
