Discipline,Signed Up,Entries,Diff
3x3 Basketball,62,64,-2
Archery,122,128,-6
Artistic Gymnastics,187,196,-9
Artistic Swimming,98,105,-7
Athletics,2068,2041,27
Badminton,164,173,-9
Baseball/Softball,220,234,-14
Basketball,280,288,-8
Beach Volleyball,90,96,-6
Boxing,270,289,-19
Canoe Slalom,78,82,-4
Canoe Sprint,236,249,-13
Cycling BMX Freestyle,19,19,0
Cycling BMX Racing,43,48,-5
Cycling Mountain Bike,74,76,-2
Cycling Road,190,201,-11
Cycling Track,208,189,19
Diving,133,143,-10
Equestrian,237,198,39
Fencing,249,215,34
Football,567,608,-41
Golf,115,120,-5
Handball,343,336,7
Hockey,406,384,22
Judo,373,393,-20
Karate,77,82,-5
Marathon Swimming,49,50,-1
Modern Pentathlon,69,72,-3
Rhythmic Gymnastics,95,96,-1
Rowing,496,522,-26
Rugby Sevens,283,297,-14
Sailing,336,350,-14
Shooting,342,356,-14
Skateboarding,77,80,-3
Sport Climbing,37,40,-3
Surfing,38,40,-2
Swimming,743,779,-36
Table Tennis,164,172,-8
Taekwondo,123,130,-7
Tennis,178,191,-13
Trampoline Gymnastics,31,32,-1
Triathlon,106,110,-4
Volleyball,274,288,-14
Water Polo,269,268,1
Weightlifting,187,197,-10
Wrestling,279,289,-10
